,type,title,director,country,release_year,rating,listed_in,first_genre
4282,Movie,Miss J Contemplates Her Choice,Jason Lai,Singapore,2014-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
4283,Movie,Ascharyachakit!,Samit Kakkad,India,2018-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
4284,TV Show,Ellen DeGeneres: Relatable,"Joel Gallen, Tig Notaro",United States,2018-01-01,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows
4285,Movie,Lilli,Prasobh Vijayan,India,2018-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
4286,Movie,Prince of Peoria: A Christmas Moose Miracle,Jon Rosenbaum,United States,2018-01-01,TV-G,"Children & Family Movies, Comedies",Children & Family Movies
4287,Movie,Andhadhun,Sriram Raghavan,India,2018-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
4288,TV Show,Ashes of Love,desconocido,China,2018-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows
4289,Movie,Dragons: Dawn of the Dragon Racers,"Elaine Bogan, John Sanford",United States,2014-01-01,TV-PG,"Children & Family Movies, Comedies",Children & Family Movies
4290,TV Show,DreamWorks Holiday Classics,desconocido,United States,2011-01-01,TV-PG,"Kids' TV, TV Comedies",Kids' TV
4291,Movie,Kill the Messenger,Michael Cuesta,United States,2014-01-01,R,"Dramas, Thrillers",Dramas
4292,Movie,Maps to the Stars,David Cronenberg,"Canada, Germany, France, United States",2014-01-01,R,"Comedies, Dramas",Comedies
4293,Movie,Springsteen on Broadway,Thom Zimny,United States,2018-01-01,TV-MA,Music & Musicals,Music & Musicals
4294,Movie,The Theory of Everything,James Marsh,"United Kingdom, Japan",2014-01-01,PG-13,"Dramas, Romantic Movies",Dramas
4295,Movie,F.R.E.D.I.,Sean Olson,United States,2018-01-01,TV-PG,"Children & Family Movies, Sci-Fi & Fantasy",Children & Family Movies
4296,TV Show,Flowers,desconocido,United Kingdom,2018-01-01,TV-MA,"British TV Shows, International TV Shows, TV Comedies",British TV Shows
4297,Movie,Kita Kita,Sigrid Andrea Bernardo,Philippines,2017-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
4298,Movie,Once in a Lifetime Sessions with George Ezra,desconocido,United States,2018-01-01,TV-MA,"Documentaries, Music & Musicals",Documentaries
4299,Movie,Once in a Lifetime Sessions with Kasabian,Matt Askem,United States,2018-01-01,TV-MA,"Documentaries, Music & Musicals",Documentaries
4300,Movie,Once in a Lifetime Sessions with OneRepublic,desconocido,United States,2018-01-01,TV-PG,"Documentaries, Music & Musicals",Documentaries
4301,Movie,Once in a Lifetime Sessions with Snow Patrol,Matt Askem,United States,2018-01-01,TV-MA,"Documentaries, Music & Musicals",Documentaries
4302,Movie,Sad Hill Unearthed,Guillermo de Oliveira,Spain,2017-01-01,TV-14,"Documentaries, International Movies",Documentaries
4303,Movie,Vanjagar Ulagam,Manoj Beedha,India,2018-01-01,TV-MA,"Dramas, International Movies, Thrillers",Dramas
4304,TV Show,Hymn of Death,desconocido,South Korea,2018-01-01,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",International TV Shows
4305,TV Show,Inside the Real Narcos,desconocido,desconocido,2018-01-01,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows
4306,Movie,ROMA,Alfonso Cuarón,"Mexico, United States",2018-01-01,R,"Dramas, Independent Movies, International Movies",Dramas
4307,TV Show,The Fix,desconocido,United States,2018-01-01,TV-MA,TV Comedies,TV Comedies
4308,TV Show,The Innocent Man,desconocido,United States,2018-01-01,TV-MA,"Crime TV Shows, Docuseries",Crime TV Shows
4309,TV Show,Tidelands,desconocido,Australia,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
4310,TV Show,Travelers,desconocido,"Canada, United States",2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
4311,TV Show,Voltron: Legendary Defender,desconocido,United States,2018-01-01,TV-Y7,Kids' TV,Kids' TV
4312,TV Show,Back Street Girls -GOKUDOLS-,desconocido,Japan,2018-01-01,TV-MA,"Anime Series, International TV Shows",Anime Series
4313,Movie,"Out of Many, One","John Hoffman, Nanfu Wang",United States,2018-01-01,TV-PG,Documentaries,Documentaries
4314,Movie,Vir Das: Losing It,Marcus Raboy,United States,2018-01-01,TV-MA,Stand-Up Comedy,Stand-Up Comedy
4315,Movie,5 Star Christmas,Marco Risi,Italy,2018-01-01,TV-14,"Comedies, International Movies",Comedies
4316,TV Show,Dogs of Berlin,desconocido,Germany,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
4317,Movie,Dumplin',Anne Fletcher,United States,2018-01-01,PG-13,"Comedies, Dramas, Independent Movies",Comedies
4318,Movie,Free Rein: The Twelve Neighs of Christmas,Marek Losey,desconocido,2018-01-01,TV-G,"Children & Family Movies, Dramas",Children & Family Movies
4319,Movie,Mowgli: Legend of the Jungle,Andy Serkis,"United Kingdom, United States",2018-01-01,PG-13,"Action & Adventure, Children & Family Movies, Dramas",Action & Adventure
4320,TV Show,Neo Yokio,desconocido,United States,2018-01-01,TV-MA,"TV Comedies, TV Sci-Fi & Fantasy, Teen TV Shows",TV Comedies
4321,TV Show,Pine Gap,Mat King,Australia,2018-01-01,TV-MA,"International TV Shows, TV Dramas",International TV Shows
4322,Movie,ReMastered: Who Killed Jam Master Jay?,Brian Oakes,desconocido,2018-01-01,TV-MA,"Documentaries, Music & Musicals",Documentaries
4323,Movie,Super Monsters and the Wish Star,Jacob Joice,desconocido,2018-01-01,TV-Y,Children & Family Movies,Children & Family Movies
4324,Movie,The American Meme,Bert Marcus,United States,2018-01-01,TV-MA,Documentaries,Documentaries
4325,Movie,RUSSELL BRAND: RE:BIRTH,Chris Howe,desconocido,2018-01-01,TV-MA,Stand-Up Comedy,Stand-Up Comedy
4326,TV Show,The Sound of Your Heart: Reboot,desconocido,South Korea,2018-01-01,TV-14,"International TV Shows, Korean TV Shows, TV Comedies",International TV Shows
4327,TV Show,Memories of the Alhambra,desconocido,South Korea,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",Crime TV Shows
4328,Movie,Teefa in Trouble,Ahsan Rahim,Pakistan,2018-01-01,TV-14,"Action & Adventure, Comedies, International Movies",Action & Adventure
4329,Movie,A Beautiful Life,Andrew Lau Wai-Keung,"China, Hong Kong",2011-01-01,TV-14,"Dramas, International Movies, Romantic Movies",Dramas
4330,Movie,Accident,Cheang Pou Soi,Hong Kong,2009-01-01,TV-MA,"International Movies, Thrillers",International Movies
4331,Movie,"Ayotzinapa, el paso de la tortuga",Enrique García Meza,Mexico,2018-01-01,TV-MA,"Documentaries, International Movies",Documentaries
4332,Movie,Battle,Katarina Launing,"Norway, Denmark, Netherlands, Sweden",2018-01-01,TV-MA,"Dramas, International Movies, Romantic Movies",Dramas
4333,Movie,Blind Detective,Johnnie To,"Hong Kong, China",2013-01-01,TV-MA,"Action & Adventure, Comedies, International Movies",Action & Adventure
4334,Movie,Break Up 100,Lawrence Cheng,Hong Kong,2014-01-01,TV-14,"Comedies, International Movies, Romantic Movies",Comedies
4335,Movie,Chal Bhaag,Prakash Balwant Saini,India,2014-01-01,TV-14,"Comedies, Dramas, International Movies",Comedies
4336,Movie,Crossroads: One Two Jaga,Nam Ron,Malaysia,2018-01-01,TV-14,"Dramas, International Movies",Dramas
4337,Movie,Don't Go Breaking My Heart,Johnnie To,Hong Kong,2011-01-01,TV-PG,"Comedies, International Movies, Romantic Movies",Comedies
4338,Movie,Don't Go Breaking My Heart 2,Johnnie To,"Hong Kong, China",2014-01-01,TV-14,"Comedies, International Movies, Romantic Movies",Comedies
4339,Movie,Faraar,Baljit Singh Deo,Australia,2015-01-01,TV-14,"Action & Adventure, Dramas, International Movies",Action & Adventure
4340,TV Show,Haunted House,desconocido,desconocido,2017-01-01,TV-G,"Kids' TV, Korean TV Shows",Kids' TV
4341,Movie,Helios,"Leung Lok Man, Luk Kim-ching","Hong Kong, China, United States",2015-01-01,TV-14,"Action & Adventure, International Movies",Action & Adventure
4342,Movie,Line Walker,Jazz Boon,"China, Hong Kong",2016-01-01,TV-MA,"Action & Adventure, Dramas, International Movies",Action & Adventure
4343,Movie,Look for a Star,Andrew Lau Wai-Keung,Hong Kong,2009-01-01,TV-14,"Comedies, International Movies, Romantic Movies",Comedies
4344,Movie,Oddbods: The Festive Menace,desconocido,desconocido,2018-01-01,TV-Y,Movies,Movies
4345,Movie,Once a Gangster,Felix Chong,Hong Kong,2010-01-01,TV-MA,"Action & Adventure, Comedies, International Movies",Action & Adventure
4346,Movie,Power Paandi,Dhanush,India,2017-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
4347,Movie,Roll With Me,desconocido,United States,2017-01-01,TV-MA,"Documentaries, Sports Movies",Documentaries
4348,Movie,SDU: Sex Duties Unit,Gary Mak,Hong Kong,2013-01-01,TV-MA,"Comedies, International Movies",Comedies
4349,Movie,Set Off,Liu Jiang,China,2008-01-01,TV-MA,"Dramas, International Movies",Dramas
4350,TV Show,1983,desconocido,"Poland, United States",2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
4351,Movie,A Christmas Prince: The Royal Wedding,John Schultz,United States,2018-01-01,TV-PG,"Children & Family Movies, Dramas, Romantic Movies",Children & Family Movies
4352,Movie,Angela's Christmas,Damien O’Connor,"Ireland, Canada",2018-01-01,TV-Y,Children & Family Movies,Children & Family Movies
4353,TV Show,Death by Magic,desconocido,United States,2018-01-01,TV-PG,Reality TV,Reality TV
4354,Movie,El club de los insomnes,"Joseduardo Giordano, Sergio Goyri Jr.",Mexico,2018-01-01,TV-MA,"Dramas, International Movies",Dramas
4355,Movie,Happy as Lazzaro,Alice Rohrwacher,"Italy, Switzerland, France, Germany",2018-01-01,PG-13,"Dramas, Independent Movies, International Movies",Dramas
4356,TV Show,Love and Fortune,desconocido,Japan,2018-01-01,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows
4357,Movie,Manto,Nandita Das,India,2018-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
4358,Movie,Rajma Chawal,Leena Yadav,India,2018-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
4359,TV Show,Spy Kids: Mission Critical,desconocido,"United States, Canada",2018-01-01,TV-Y7,Kids' TV,Kids' TV
4360,Movie,The World Is Yours,Romain Gavras,France,2018-01-01,TV-MA,"Action & Adventure, Comedies, International Movies",Action & Adventure
4361,Movie,Time Share,Sebastián Hofmann,"Mexico, Netherlands",2018-01-01,TV-MA,"Dramas, Independent Movies, International Movies",Dramas
4362,TV Show,Bumping Mics with Jeff Ross & Dave Attell,desconocido,United States,2018-01-01,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows
4363,TV Show,Minecraft: Story Mode,desconocido,"United States, Sweden",2015-01-01,TV-PG,Kids' TV,Kids' TV
4364,Movie,My Little Pony Friendship Is Magic: Best Gift Ever,"Denny Lu, Mike Myhre",United States,2018-01-01,TV-Y,Children & Family Movies,Children & Family Movies
4365,TV Show,Frontier,desconocido,Canada,2018-01-01,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas",International TV Shows
4366,TV Show,Fugitiva,desconocido,Spain,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
4367,TV Show,Sick Note,desconocido,United Kingdom,2018-01-01,TV-MA,"British TV Shows, International TV Shows, TV Comedies",British TV Shows
4368,TV Show,Mystery Science Theater 3000: The Return,desconocido,United States,2018-01-01,TV-14,"TV Comedies, TV Sci-Fi & Fantasy",TV Comedies
4369,Movie,The Christmas Chronicles,Clay Kaytis,United States,2018-01-01,TV-PG,"Children & Family Movies, Comedies",Children & Family Movies
4370,Movie,The Tribe,Fernando Colomo,Spain,2018-01-01,TV-MA,"Comedies, International Movies",Comedies
4371,TV Show,Kulipari: Dream Walker,desconocido,desconocido,2018-01-01,TV-Y7,Kids' TV,Kids' TV
4372,TV Show,Paap-O-Meter,desconocido,desconocido,2017-01-01,TV-Y7,"Kids' TV, TV Comedies",Kids' TV
4373,Movie,Puppy Star Christmas,Robert Vince,"United States, Canada",2018-01-01,PG,"Children & Family Movies, Comedies",Children & Family Movies
4374,Movie,Sabrina,Rocky Soraya,Indonesia,2018-01-01,TV-MA,"Horror Movies, International Movies",Horror Movies
4375,Movie,Target,Raditya Dika,Indonesia,2018-01-01,TV-14,"Comedies, Horror Movies, International Movies",Comedies
4376,TV Show,The Final Table,desconocido,United States,2018-01-01,TV-PG,Reality TV,Reality TV
4377,Movie,Trevor Noah: Son of Patricia,David Paul Meyer,United States,2018-01-01,TV-MA,Stand-Up Comedy,Stand-Up Comedy
4378,Movie,The Pixar Story,Leslie Iwerks,United States,2007-01-01,G,Documentaries,Documentaries
4379,TV Show,Eternal Love,desconocido,China,2017-01-01,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows
4380,TV Show,La Doña,desconocido,"United States, Mexico",2016-01-01,TV-14,"Spanish-Language TV Shows, TV Dramas",Spanish-Language TV Shows
4381,TV Show,Silvana Sin Lana,desconocido,United States,2016-01-01,TV-14,"Romantic TV Shows, Spanish-Language TV Shows, TV Comedies",Romantic TV Shows
4382,Movie,Cam,Daniel Goldhaber,United States,2018-01-01,TV-MA,"Horror Movies, Independent Movies, Thrillers",Horror Movies
4383,Movie,Nothing to Hide,Fred Cavayé,"France, Belgium",2018-01-01,TV-MA,"Comedies, Dramas, International Movies",Comedies
4384,TV Show,Ponysitters Club,desconocido,Canada,2018-01-01,TV-G,"Kids' TV, TV Dramas",Kids' TV
4385,Movie,The Ballad of Buster Scruggs,"Joel Coen, Ethan Coen",United States,2018-01-01,R,"Comedies, Dramas",Comedies
4386,Movie,The Princess Switch,desconocido,United States,2018-01-01,TV-G,"Children & Family Movies, Dramas, Romantic Movies",Children & Family Movies
4387,TV Show,Vai Anitta,desconocido,Brazil,2018-01-01,TV-MA,"Docuseries, International TV Shows, Reality TV",Docuseries
4388,Movie,Aalorukkam,V C Abhilash,India,2018-01-01,TV-PG,"Dramas, Independent Movies, International Movies",Dramas
4389,TV Show,Beyblade Burst Evolution,desconocido,desconocido,2017-01-01,TV-Y,"Anime Series, Kids' TV",Anime Series
4390,Movie,Christmas Wedding Planner,Justin G. Dyck,Canada,2017-01-01,PG,"Comedies, International Movies, Romantic Movies",Comedies
4391,Movie,Halkaa,Nila Madhab Panda,India,2018-01-01,TV-14,"Comedies, Dramas, Independent Movies",Comedies
4392,Movie,May the Devil Take You,Timo Tjahjanto,Indonesia,2018-01-01,TV-MA,"Horror Movies, International Movies",Horror Movies
4393,Movie,Muzaffarnagar Baaqi Hai,Nakul Singh Sawhney,India,2015-01-01,TV-MA,"Documentaries, International Movies",Documentaries
4394,Movie,Odu Raja Odu,"Nishanth Ravindaran, Jathin Sanker Raj",India,2018-01-01,TV-14,"Comedies, Independent Movies, International Movies",Comedies
4395,Movie,Savita Damodar Paranjpe,Swapna Waghmare Joshi,India,2018-01-01,TV-14,"Horror Movies, International Movies",Horror Movies
4396,Movie,The Giant,"Aitor Arregi, Jon Garaño",Spain,2017-01-01,TV-14,"Dramas, International Movies",Dramas
4397,Movie,BuyBust,Erik Matti,Philippines,2018-01-01,TV-MA,"Action & Adventure, International Movies",Action & Adventure
4398,Movie,Loudon Wainwright III: Surviving Twin,Christopher Guest,desconocido,2018-01-01,TV-14,Music & Musicals,Music & Musicals
4399,TV Show,Warrior,desconocido,Denmark,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows
4400,TV Show,Age of Tanks,desconocido,"Germany, France, Russia",2017-01-01,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",Docuseries
4401,Movie,"All's Well, End's Well (2009)",Vincent Kok,Hong Kong,2009-01-01,TV-14,"Comedies, International Movies, Romantic Movies",Comedies
4402,Movie,Lommbock,Christian Zübert,Germany,2017-01-01,TV-MA,"Comedies, International Movies",Comedies
4403,TV Show,Medal of Honor,desconocido,United States,2018-01-01,TV-MA,"Docuseries, TV Dramas",Docuseries
4404,Movie,Outlaw King,David Mackenzie,"United Kingdom, United States",2018-01-01,R,"Action & Adventure, Dramas",Action & Adventure
4405,TV Show,Super Drags,desconocido,Brazil,2018-01-01,TV-MA,"International TV Shows, TV Comedies",International TV Shows
4406,TV Show,The Queen of Flow,desconocido,Colombia,2018-01-01,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows
4407,TV Show,Treehouse Detectives,desconocido,"South Korea, United States",2018-01-01,TV-Y,"Kids' TV, TV Thrillers",Kids' TV
4408,TV Show,Westside,desconocido,United States,2018-01-01,TV-MA,Reality TV,Reality TV
4409,TV Show,Transfers,desconocido,"France, Belgium",2017-01-01,TV-MA,"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy",Crime TV Shows
4410,TV Show,Damnation,desconocido,United States,2017-01-01,TV-MA,"Crime TV Shows, TV Dramas",Crime TV Shows
4411,Movie,Bucket List,Tejas Prabha Vijay Deoskar,India,2018-01-01,TV-14,"Dramas, International Movies",Dramas
4412,Movie,John Leguizamo's Latin History for Morons,desconocido,United States,2018-01-01,TV-MA,Stand-Up Comedy,Stand-Up Comedy
4413,TV Show,Kopitiam,desconocido,Malaysia,2003-01-01,TV-14,"International TV Shows, TV Comedies",International TV Shows
4414,Movie,Ana e Vitória,Matheus Souza,Brazil,2018-01-01,TV-MA,"Comedies, International Movies, LGBTQ Movies",Comedies
4415,TV Show,Brainchild,desconocido,desconocido,2018-01-01,TV-G,Kids' TV,Kids' TV
4416,Movie,ReMastered: Tricky Dick & The Man in Black,Sara Dosa,United States,2018-01-01,TV-14,"Documentaries, Music & Musicals",Documentaries
4417,Movie,The Holiday Calendar,Bradley Walsh,United States,2018-01-01,TV-G,"Dramas, Romantic Movies",Dramas
4418,Movie,The Other Side of the Wind,Orson Welles,"France, Iran, United States",2018-01-01,R,"Classic Movies, Dramas, Independent Movies",Classic Movies
4419,Movie,They’ll Love Me When I’m Dead,Morgan Neville,United States,2018-01-01,TV-MA,Documentaries,Documentaries
4420,Movie,Aagey Se Right,Indrajit Nattoji,India,2009-01-01,TV-14,"Comedies, International Movies, Music & Musicals",Comedies
4421,Movie,Aamir,Raj Kumar Gupta,India,2008-01-01,TV-14,"International Movies, Thrillers",International Movies
4422,Movie,ABCD 2,Remo D'Souza,India,2015-01-01,TV-14,"Dramas, International Movies, Music & Musicals",Dramas
4423,Movie,ABCD: Any Body Can Dance,Remo D'Souza,India,2013-01-01,TV-14,"Dramas, International Movies",Dramas
4424,Movie,Arjun: The Warrior Prince,Arnab Chaudhuri,India,2011-01-01,TV-14,"Action & Adventure, Dramas, International Movies",Action & Adventure
4425,Movie,Asees,Rana Ranbir,India,2018-01-01,TV-14,"Dramas, International Movies, Music & Musicals",Dramas
